,Name,Region,Location,QS Rank,QS Score,No staffs,No internat staffs,No students,No internat students
113,University of Groningen,Europe,Netherlands,113,61.3,3351,1137,27549,10780
114,Universiti Malaya (UM),Asia,Malaysia,114,60.8,2755,655,17902,3476
115,Nanjing University,Asia,China,114,60.8,2449,617,32495,2960
116,Nagoya University,Asia,Japan,116,60.7,2665,206,15838,1547
117,Technical University of Denmark,Europe,Denmark,116,60.7,2117,966,8878,2098
118,"University of California, Davis",North America,United States,118,60.4,3843,549,34244,4529
119,Aarhus University,Europe,Denmark,119,59.3,2316,602,26226,3762
120,Humboldt-Universität zu Berlin,Europe,Germany,120,59.2,1966,407,33198,4805
121,Universidade de São Paulo,Latin America,Brazil,121,59.1,5582,279,65711,2086
122,Universidad Nacional Autónoma de México  (UNAM),Latin America,Mexico,122,59.0,15073,949,141939,2173
